[2025-05-06T06:50:22.776Z] 開始資料庫更新流程
[2025-05-06T06:50:22.782Z] 開始ATMovies 場次爬蟲...
[2025-05-06T07:05:10.686Z] ATMovies 場次爬蟲警告: /Users/jonaswhite/CascadeProjects/.venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-05-06 14:57:17,164 - INFO - 在 台北天母新光影城 - 明天 找到 39 個場次
2025-05-06 14:57:18,169 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250508/
2025-05-06 14:57:28,177 - ERROR - 請求錯誤: HTTPSConnectionPool(host='www.atmovies.com.tw', port=443): Read timed out. (read timeout=10) - https://www.atmovies.com.tw/showtime/t02d04/a02/20250508/
2025-05-06 14:57:28,178 - INFO - 等待 3 秒後重試...
2025-05-06 14:57:31,183 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d04/a02/20250508/
2025-05-06 14:57:43,895 - INFO - 確認電影院名稱: 台北天母新光影城
2025-05-06 14:57:43,899 - INFO - 在 台北天母新光影城 - 後天 找到 39 個場次
2025-05-06 14:57:44,904 - INFO - 完成電影院 台北天母新光影城 的資料收集
2025-05-06 14:57:44,904 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d03/a02/
2025-05-06 14:57:45,013 - INFO - 確認電影院名稱: 欣欣秀泰影城
2025-05-06 14:57:45,019 - INFO - 在 欣欣秀泰影城 - 今天 找到 69 個場次
2025-05-06 14:57:46,024 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d03/a02/20250507/
2025-05-06 14:57:51,387 - INFO - 確認電影院名稱: 欣欣秀泰影城
2025-05-06 14:57:51,392 - INFO - 在 欣欣秀泰影城 - 明天 找到 69 個場次
2025-05-06 14:57:52,398 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d03/a02/20250508/
2025-05-06 14:58:02,253 - INFO - 確認電影院名稱: 欣欣秀泰影城
2025-05-06 14:58:02,260 - INFO - 在 欣欣秀泰影城 - 後天 找到 69 個場次
2025-05-06 14:58:03,262 - INFO - 完成電影院 欣欣秀泰影城 的資料收集
2025-05-06 14:58:03,262 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d02/a02/
2025-05-06 14:58:03,391 - INFO - 確認電影院名稱: 國賓長春影城
2025-05-06 14:58:03,397 - INFO - 在 國賓長春影城 - 今天 找到 82 個場次
2025-05-06 14:58:04,398 - INFO - 正在抓取: https://www.atmovies.com.tw/showtime/t02d02/a02/20250507/
